mailstop,ms_name,ms_route,ms_route_order
CAREER,CAREER CENTER,C,1
ERC,ETHNIC RESOURCE CENTERS,C,2
STD HSNG,STUDENT HOUSING SERVICES,C,3
CASHIER,CASHIERS OFFICE,C,4
REGISTRAR,REGISTRAR,C,5
SUM SESS,SUMMER SESSION,C,6
DRC,DISABILITY RESOURCE CENTER,C,7
ADM HAHN,ADMISSIONS HAHN,C,8
STUD SERV,Student Services,C,9
SBS,STUDENT BUSINESS SERVICES,C,10
FIN AID,FINANCIAL AID AND SCHOLARSHIP OFFICE,C,11
SOAR,SOAR,C,12
E SQUARE,Engaging Education,C,13
GRD ST CM,GRADUATE STUDENT COMMONS,C,14
G E,Global Engagement (GE/SA/ISSS/IEO),C,15
MCHENRY,MCHENRY LIBRARY,C,16
ITS FITC,ITS FITC,C,17
MATH DEPT,MATHEMATICS DEPARTMENT,C,18
EDUC DEPT,EDUCATION DEPARTMENT,C,19
PRESS CTR,PRESS CENTER,C,20
EOP,EDUCATIONAL OPPORTUNITY PROGRAM,C,21
LSS,LEARNING SUPPORT SERVICES,C,22
MUSIC CTR,MUSIC CENTER,C,23
DARC,DIGITAL ARTS RESEARCH CENTER,C,24
ART DEPT,ART DEPARTMENT,C,25
THEATER,THEATER ARTS CENTER,C,26
ITS KERR,ITS KERR,C,27
ODEI,"Office for Diversity, Equity, and Inclusion",C,28
LEARNTECH,LEARNING TECHNOLOGIES - KERR HALL,C,29
CHANC,CHANCELLORS OFFICE,C,30
GRAD APP,GRADUATE APPLICATION PROCESSING,C,31
RESEARCH,OFFICE OF RESEARCH,C,32
AC SENATE,ACADEMIC SENATE,C,33
APO,ACADEMIC PERSONNEL OFFICE,C,34
PBS STKRM,PB SCI STOCKROOM,C,35
PBS FAC,PB SCI FACILITIES,C,36
CHEMISTRY,CHEMISTRY,C,37
PBS BO,PB SCI BUSINESS OFFICE,C,38
METX,METX,C,39
ENVS,ENVIRONMENTAL STUDIES,C,40
SCIPP,SCIPP,C,41
UCO LICK,UCO / LICK OBSERVATORY,C,42
PHYSICS,PHYSICS DEPARTMENT,C,43
